Timestamp,SensorValue
2023-09-22 23:08:01,984,0
2023-09-22 23:08:01,983,0
2023-09-22 23:08:01,980,0
2023-09-22 23:08:01,979,1
2023-09-22 23:08:01,977,3
2023-09-22 23:08:01,981,0
2023-09-22 23:08:01,978,2
2023-09-22 23:08:01,982,0
2023-09-22 23:08:01,983,0
2023-09-22 23:08:01,982,0
2023-09-22 23:08:02,985,0
2023-09-22 23:08:02,984,0
2023-09-22 23:08:02,986,0
2023-09-22 23:08:02,984,0
2023-09-22 23:08:02,984,0
2023-09-22 23:08:02,983,0
2023-09-22 23:08:02,981,0
2023-09-22 23:08:02,980,0
2023-09-22 23:08:02,978,2
2023-09-22 23:08:02,979,1
2023-09-22 23:08:03,981,0
2023-09-22 23:08:03,981,0
2023-09-22 23:08:03,984,0
2023-09-22 23:08:03,983,0
2023-09-22 23:08:03,984,0
2023-09-22 23:08:03,987,0
2023-09-22 23:08:03,986,0
2023-09-22 23:08:03,986,0
2023-09-22 23:08:03,983,0
2023-09-22 23:08:04,984,0
2023-09-22 23:08:04,983,0
